NMuestras,NProcesos,Tiempo,SpeedUp,Pi_Estimado,Error
100,1,1.8951160000000003e-05,1.0,3.1615999999999995,0.17340888156922485
1000,1,7.101085e-05,1.0,3.1380000000000003,0.0490370614359172
10000,1,0.0006783331739130435,1.0,3.1396347826086966,0.015426406365661173
100000,1,0.006957863599999999,1.0,3.1408832,0.00463271843077516
1000000,1,0.06152489848,1.0,3.14128976,0.00094466300514204
10000000,1,0.5973279137599999,1.0,3.1415132480000008,0.00042270243077516
100000000,1,5.97460976332,1.0,3.1416207376,0.00013849379485796
1000000000,1,59.6909067022,1.0,3.14156603728,5.2766525142040004e-05
100,2,5.380292e-05,0.35223292713480986,3.1472,0.11420888156922483
1000,2,3.8326347826086955e-05,1.8527945924361264,3.130608695652174,0.03812078090301649
10000,2,0.000358662875,1.8912834898595052,3.137233333333333,0.010764830064114916
100000,2,0.0035918373500000004,1.9371321477015095,3.141552,0.0038967346410206985
1000000,2,0.034664717840000005,1.7748564625270289,3.14162688,0.00111245699485796
10000000,2,0.3196924043809524,1.8684457483957329,3.141441847619047,0.00035787874237109527
100000000,2,3.08687629036,1.9354872697613756,3.1415996240000004,0.00013017276922484
1000000000,2,30.875640038039997,1.933268642485094,3.141589948,4.1596670775160005e-05
100,3,7.893684e-05,0.24008004374130007,3.1792000000000002,0.12700888156922485
1000,3,2.6723333333333336e-05,2.6572601970812024,3.136571428571428,0.04456967942614119
10000,3,0.00024565391304347825,2.7613367338992294,3.142469565217391,0.013669884626530739
100000,3,0.00271073132,2.566784671230345,3.1422352,0.0037662692820413994
1000000,3,0.024299112304347826,2.5319813213502202,3.1412464347826092,0.0009770116499549998
10000000,3,0.22026204293749999,2.71189672897701,3.141609575,0.00037692990382762496
100000000,3,2.1027831094761904,2.841286738701403,3.141545213333334,0.00013006738707385714
1000000000,3,21.014873778235295,2.840412335191884,3.141591810352941,4.873557466935294e-05
100,4,8.757864000000001e-05,0.21639020656178265,3.1568,0.09795405699485796
1000,4,2.1547904761904762e-05,3.29548746314966,3.134666666666667,0.04175133146520853
10000,4,0.0001820764,3.7255414425650084,3.1414720000000007,0.01420888156922484
100000,4,0.0018876941578947369,3.685906199847438,3.1401663157894735,0.0044541355330816315
1000000,4,0.019560341045454545,3.145389864983833,3.142232909090909,0.0014187938228213638
10000000,4,0.16733160845454548,3.569725524524914,3.1416550727272723,0.00039570421910972725
100000000,4,1.587076313631579,3.7645384232650927,3.1415989347368423,0.00015981124156805266
1000000000,4,15.864735149549997,3.7624899589888923,3.141597752,3.53588e-05
100,5,0.00010899488,0.17387202041050004,3.1008,0.1675185307179586
1000,5,1.833975e-05,3.8719639035428512,3.1390000000000007,0.03953394553418391
10000,5,0.00015399273913043482,4.404968557241405,3.141530434782609,0.012138172207364305
100000,5,0.0014701089499999998,4.73288976303423,3.14256,0.0039254692820414
1000000,5,0.016182990772727276,3.801824974385212,3.1412123636363636,0.001454055850833818
10000000,5,0.13455345220833334,4.439335475652742,3.141636366666667,0.00045480326921841665
100000000,5,1.2858460569999999,4.646442496591955,3.141652811428571,0.00012826084246966664
1000000000,5,12.85417186585,4.643699129368445,3.1415960447999995,3.786064102070001e-05
100,6,9.027295833333334e-05,0.209931748664121,3.121666666666666,0.1552654422649655
1000,6,1.1011099999999999e-05,6.449024166522873,3.1356,0.0495222039230621
10000,6,9.08863e-05,7.4635360215240745,3.1405200000000004,0.015157796076937902
100000,6,0.0009134197142857144,7.61737839810145,3.142988571428572,0.0032424488034023336
1000000,6,0.010060996590909092,6.115189278127042,3.141804545454546,0.0011241224009279093
10000000,6,0.08333634631818182,7.167675811936556,3.141591018181818,0.0004440097435987273
100000000,6,0.7670387757499999,7.789188698417638,3.1415946900000002,0.00012893264102069999
1000000000,6,7.68501030952381,7.767186288381005,3.1415883959999995,3.809843955338096e-05
100,7,0.00011658637499999999,0.16255038378198142,3.143333333333333,0.11460183660255174
1000,7,1.0044500000000002e-05,7.069625168002388,3.150545454545455,0.04065654902096555
10000,7,7.604308695652174e-05,8.920379235799384,3.145930434782609,0.014209653879592216
100000,7,0.00074131385,9.385854048187552,3.1424140000000005,0.0035994692820414003
1000000,7,0.008743485681818182,7.036655713629084,3.142003818181818,0.0012949720745830911
10000000,7,0.07133456063636365,8.37361173085441,3.1415716727272733,0.0004229090909090909
100000000,7,0.6556045452857142,9.113130478246227,3.1416352419047615,0.0001200462881445238
1000000000,7,6.520445915650001,9.15442095132379,3.1415996658,4.13823640828e-05
100,8,0.00011707417391304348,0.1618731046018392,3.104347826086957,0.11585991133779912
1000,8,8.802739130434781e-06,8.06690382934166,3.1349565217391304,0.0549226973578531
10000,8,7.378912e-05,9.192861683579416,3.138976,0.013663706143591721
100000,8,0.0006554966842105262,10.61464347204133,3.140789473684211,0.00460726109312521
1000000,8,0.007585588217391304,8.110761712446147,3.1410573913043485,0.0010530684838500437
10000000,8,0.06586042783333333,9.069602694832174,3.1415486833333333,0.00042407113248275
100000000,8,0.5819406259583334,10.266699894823597,3.1416122200000003,0.00011312993588508335
1000000000,8,5.742399388136364,10.394767529670567,3.1416014414545455,4.356174359872727e-05
100,9,0.00011192390909090907,0.16932182010018176,3.056363636363636,0.11177781104897799
1000,9,8.367761904761905e-06,8.486241698582429,3.1430476190476186,0.042209873638581294
10000,9,6.597160869565217e-05,10.282198468774777,3.1456521739130436,0.013340088662200914
100000,9,0.000583663380952381,11.921021306230735,3.143331428571429,0.0037795916605451907
1000000,9,0.00682153895652174,9.019210895391728,3.1416735652173915,0.0012273327647736086
