NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019252000000,1,3.400000000000000,0.258407346410207
1000,0.000083385000000,1,3.068000000000000,0.073592653589793
10000,0.000629528000000,1,3.144000000000000,0.002407346410207
100000,0.006700400000000,1,3.133040000000000,0.008552653589793
1000000,0.059365987000000,1,3.142092000000000,0.000499346410207
10000000,0.573135333000000,1,3.141644000000000,0.000051346410207
100000000,5.744679284000000,1,3.141362800000000,0.000229853589793
1000000000,57.196642015999998,1,3.141505300000000,0.000087353589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019138000000,1,3.000000000000000,0.141592653589793
1000,0.000072250000000,1,3.052000000000000,0.089592653589793
10000,0.000649803000000,1,3.122800000000000,0.018792653589793
100000,0.006631810000000,1,3.144720000000000,0.003127346410207
1000000,0.059136891000000,1,3.141660000000000,0.000067346410207
10000000,0.574432744000000,1,3.141009200000000,0.000583453589793
100000000,5.749291201000000,1,3.141514480000000,0.000078173589793
1000000000,57.152980866999997,1,3.141425740000000,0.000166913589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019456000000,1,3.240000000000000,0.098407346410207
1000,0.000078901000000,1,3.056000000000000,0.085592653589793
10000,0.000665190000000,1,3.159200000000000,0.017607346410207
100000,0.006608791000000,1,3.149680000000000,0.008087346410207
1000000,0.059069898000000,1,3.142504000000000,0.000911346410207
10000000,0.569420158000000,1,3.142236400000000,0.000643746410207
100000000,5.724072667000000,1,3.141525560000000,0.000067093589793
1000000000,57.506174476999995,1,3.141601296000000,0.000008642410207
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000018239000000,1,3.240000000000000,0.098407346410207
1000,0.000070149000000,1,3.168000000000000,0.026407346410207
10000,0.000648748000000,1,3.144000000000000,0.002407346410207
100000,0.006632175000000,1,3.140240000000000,0.001352653589793
1000000,0.059108065000000,1,3.141448000000000,0.000144653589793
10000000,0.574998755000000,1,3.142085600000000,0.000492946410207
100000000,5.764818701999999,1,3.142030400000000,0.000437746410207
1000000000,56.982788729999996,1,3.141560256000000,0.000032397589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000018260000000,1,3.120000000000000,0.021592653589793
1000,0.000070467000000,1,3.116000000000000,0.025592653589793
10000,0.000691579000000,1,3.129600000000000,0.011992653589793
100000,0.006587178000000,1,3.140880000000000,0.000712653589793
1000000,0.058978541000000,1,3.141228000000000,0.000364653589793
10000000,0.572257275000000,1,3.140961600000000,0.000631053589793
100000000,5.847461657999999,1,3.141676040000000,0.000083386410207
1000000000,57.367233939000002,1,3.141541332000000,0.000051321589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019447000000,1,2.960000000000000,0.181592653589793
1000,0.000084919000000,1,3.092000000000000,0.049592653589793
10000,0.000698048000000,1,3.157600000000000,0.016007346410207
100000,0.007013896000000,1,3.146360000000000,0.004767346410207
1000000,0.059117444000000,1,3.141244000000000,0.000348653589793
10000000,0.572805900000000,1,3.141403200000000,0.000189453589793
100000000,5.749239657000000,1,3.141855360000000,0.000262706410207
1000000000,57.426046554000003,1,3.141601476000000,0.000008822410207
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019610000000,1,3.280000000000000,0.138407346410207
1000,0.000070165000000,1,3.188000000000000,0.046407346410207
10000,0.000668897000000,1,3.127200000000000,0.014392653589793
100000,0.006811330000000,1,3.138440000000000,0.003152653589793
1000000,0.059259569000000,1,3.143776000000000,0.002183346410207
10000000,0.574932184000000,1,3.141428000000000,0.000164653589793
100000000,5.698157714000000,1,3.141676160000000,0.000083506410207
1000000000,57.359654070000005,1,3.141579572000000,0.000013081589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000017564000000,1,2.640000000000000,0.501592653589793
1000,0.000066540000000,1,3.016000000000000,0.125592653589793
10000,0.000632702000000,1,3.105600000000000,0.035992653589793
100000,0.006628330000000,1,3.134360000000000,0.007232653589793
1000000,0.059307364000000,1,3.141280000000000,0.000312653589793
10000000,0.574321883000000,1,3.141460800000000,0.000131853589793
100000000,5.758144730000000,1,3.141612680000000,0.000020026410207
1000000000,58.181856296999996,1,3.141502420000000,0.000090233589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019881000000,1,3.040000000000000,0.101592653589793
1000,0.000072279000000,1,3.096000000000000,0.045592653589793
10000,0.000688793000000,1,3.144000000000000,0.002407346410207
100000,0.007401386000000,1,3.144520000000000,0.002927346410207
1000000,0.062696433000000,1,3.140836000000000,0.000756653589793
10000000,0.610139208000000,1,3.142249200000000,0.000656546410207
100000000,6.062687300000000,1,3.141628640000000,0.000035986410207
1000000000,60.947067349000001,1,3.141660596000000,0.000067942410207
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000019264000000,1,2.800000000000000,0.341592653589793
1000,0.000072383000000,1,3.136000000000000,0.005592653589793
10000,0.000686728000000,1,3.137600000000000,0.003992653589793
100000,0.007064879000000,1,3.143040000000000,0.001447346410207
1000000,0.062721227000000,1,3.140280000000000,0.001312653589793
10000000,0.609575509000000,1,3.141637600000000,0.000044946410207
100000000,6.107268339000000,1,3.141551160000000,0.000041493589793
1000000000,60.447110798999994,1,3.141546452000000,0.000046201589793
NMuestras,Tiempo,NProcesos,Pi_Estimado,Error
100,0.000018897000000,1,3.160000000000000,0.018407346410207
1000,0.000072907000000,1,3.104000000000000,0.037592653589793
10000,0.000691858000000,1,3.145600000000000,0.004007346410207
