NMuestras,NProcesos,Tiempo,Pi_Estimado,Error
100,1,1.95355e-05,3.1799999999999997,0.18
1000,1,8.08275e-05,3.18,0.038407346410207
10000,1,0.000703393,3.1353999999999997,0.019799999999999998
100000,1,0.0072821215,3.14324,0.00692
1000000,1,0.0646330085,3.140898,0.000694653589793
10000000,1,0.628866039,3.1412237999999997,0.000368853589793
100000000,1,6.251726248500001,3.14157554,7.354e-05
1000000000,1,62.3953091215,3.1416349859999997,5.7502e-05
100,2,4.62775e-05,3.2199999999999998,0.14
1000,2,4.2452e-05,3.148,0.016
10000,2,0.00035510800000000003,3.1391999999999998,0.009600000000000001
100000,2,0.004009825999999999,3.1491800000000003,0.007587346410207
1000000,2,0.035017178999999996,3.1428000000000003,0.001207346410207
10000000,2,0.3275688545,3.1421381999999998,0.0005455464102069999
100000000,2,3.1429700435,3.14185554,0.000262886410207
1000000000,2,32.2893728405,3.141616196,6.9812e-05
100,3,5.22165e-05,3.1,0.14
1000,3,2.1959e-05,3.156,0.036
10000,3,0.0005918099999999999,3.1404,0.0076
100000,3,0.0021019285,3.1422999999999996,0.00242
1000000,3,0.021672851,3.1431579999999997,0.001565346410207
10000000,3,0.210945829,3.1416034,1.0746410206999999e-05
100000000,3,2.1731048435,3.1416599,6.7246410207e-05
1000000000,3,21.817061706,3.1415452000000004,4.7453589793e-05
100,4,0.00028540499999999997,3.2,0.12
1000,4,2.0968e-05,3.156,0.048
10000,4,0.00018443449999999998,3.1366,0.0246
100000,4,0.0018171755,3.14346,0.00434
1000000,4,0.0192900945,3.14129,0.000998
10000000,4,0.162828596,3.14173,0.000137346410207
100000000,4,1.5823225605000002,3.1418314599999997,0.00023880641020699998
1000000000,4,16.3860552795,3.141633816,4.1162410207e-05
100,5,5.3785499999999995e-05,3.04,0.101592653589793
1000,5,1.82745e-05,3.1180000000000003,0.023592653589793
10000,5,0.00014837500000000002,3.1358,0.005792653589793
100000,5,0.0014583685,3.1408199999999997,0.0028599999999999997
1000000,5,0.017133997499999998,3.139926,0.001982
10000000,5,0.1371337245,3.141477,0.0007954
100000000,5,1.3396183905,3.14155418,6.59e-05
1000000000,5,12.869338396500002,3.141559026,3.3627589793e-05
100,6,5.23095e-05,3.14,0.1
1000,6,1.5341e-05,3.178,0.036407346410207
10000,6,0.000120955,3.146,0.004407346410207
100000,6,0.0014259895,3.1482200000000002,0.0066273464102069995
1000000,6,0.0150057255,3.142102,0.000962
10000000,6,0.1102476645,3.1419126000000004,0.000319946410207
100000000,6,1.071759229,3.14154012,5.2533589793e-05
1000000000,6,10.7052325485,3.1415924879999997,9.76e-06
100,7,5.3321e-05,3.26,0.118407346410207
1000,7,1.4176000000000001e-05,3.14,0.044
10000,7,0.000423718,3.1479999999999997,0.006407346410207
100000,7,0.0012098635,3.13788,0.003712653589793
1000000,7,0.014003314999999999,3.142014,0.001462
10000000,7,0.09658061600000001,3.1409178,0.0006748535897929999
100000000,7,0.9300581145,3.1416163800000003,0.00029633999999999997
1000000000,7,9.1794686655,3.141597478,3.9602e-05
100,8,7.91485e-05,3.2,0.058407346410207
1000,8,1.2176999999999999e-05,3.1580000000000004,0.058
10000,8,8.81015e-05,3.1555999999999997,0.014007346410207
100000,8,0.0014925895,3.1455,0.003907346410206999
1000000,8,0.0156188235,3.14051,0.001082653589793
10000000,8,0.086743669,3.1418147999999997,0.000222146410207
100000000,8,0.8059780685,3.1414766199999997,0.00011603358979300001
1000000000,8,8.031135326000001,3.141596646,3.779e-05
100,9,0.000128038,3.02,0.121592653589793
1000,9,1.1854e-05,3.1580000000000004,0.030000000000000002
10000,9,7.9249e-05,3.1626,0.021007346410207
100000,9,0.0010623935,3.1460999999999997,0.004507346410207
1000000,9,0.015533765,3.144068,0.002475346410207
10000000,9,0.0828611385,3.1418980000000003,0.0006912
100000000,9,0.7166735705,3.14163166,0.00016338
1000000000,9,7.1497624165,3.1416234120000004,3.0758410207000006e-05
100,10,8.47165e-05,3.06,0.08159265358979301
1000,10,1.1812499999999999e-05,3.152,0.011999999999999999
10000,10,7.472650000000001e-05,3.1456,0.0040073464102070005
100000,10,0.001253421,3.14422,0.002627346410207
1000000,10,0.011121641,3.141768,0.000528
10000000,10,0.0731993125,3.1410084,0.000584253589793
100000000,10,0.6461203225000001,3.1413729000000004,0.000219753589793
1000000000,10,6.5092919015,3.1416075379999997,3.7714e-05
100,11,0.0001491945,3.14,0.019999999999999997
1000,11,1.133e-05,3.1260000000000003,0.018
10000,11,6.33375e-05,3.1422,0.012199999999999999
100000,11,0.0010937045,3.14484,0.0032473464102070002
1000000,11,0.0112804885,3.1422999999999996,0.0007073464102070001
10000000,11,0.0752153725,3.1417634,0.0001862
100000000,11,0.588190159,3.14167826,9.730000000000001e-05
1000000000,11,5.8566967515,3.1416454700000003,5.2816410207000004e-05
100,12,6.5891e-05,2.96,0.181592653589793
1000,12,1.06615e-05,3.0860000000000003,0.055592653589793
10000,12,5.5289e-05,3.1235999999999997,0.017992653589793
100000,12,0.0009864635,3.1415800000000003,0.00266
1000000,12,0.010169428,3.141482,0.000322
10000000,12,0.069176354,3.1418738,0.000281146410207
100000000,12,0.540258675,3.1417082,0.00011554641020700001
1000000000,12,5.368100601,3.14153269,5.9963589793e-05
100,13,0.0001575825,3.3,0.15840734641020698
1000,13,1.0143000000000001e-05,3.18,0.038407346410207
10000,13,5.1863499999999996e-05,3.1336,0.007992653589793
100000,13,0.0010048865000000001,3.14376,0.00392
1000000,13,0.0110011115,3.1431560000000003,0.001563346410207
