NMuestras,NProcesos,Tiempo,SpeedUp,Pi_Estimado,Error
100,1,5.4311e-06,1.0,3.0439999999999996,0.16895559215387582
1000,1,2.473966666666667e-05,1.0,3.1431111111111116,0.041510294843310334
10000,1,0.00022760359999999998,1.0,3.1334,0.0172385307179586
100000,1,0.002192226111111111,1.0,3.1421288888888887,0.0017563718233563333
1000000,1,0.0202626566,1.0,3.1412039999999997,0.0013322614359172
10000000,1,0.2107886014,1.0,3.1414925600000005,0.0004318614359172
100,2,1.7854125e-05,0.30419300861845655,3.035,0.14039816339744823
1000,2,1.241525e-05,1.9926837290160626,3.1025,0.0422963267948965
10000,2,0.000108769,2.092541073283748,3.13585,0.009148163397448249
100000,2,0.0010924434444444442,2.006718171324608,3.146288888888889,0.005565713874605444
1000000,2,0.010643008333333334,1.9038467287992666,3.1416875555555555,0.000892961509977
10000000,2,0.10300197,2.046452134847518,3.1419761200000003,0.0005880185640827999
100,3,1.9856375e-05,0.27351920982555983,3.165,0.15039816339744824
1000,3,8.94525e-06,2.7656763831828814,3.124,0.045398163397448246
10000,3,7.43505e-05,3.0612248740761663,3.11205,0.029542653589793
100000,3,0.000731033125,2.998805438688036,3.140625,0.0014313267948964999
1000000,3,0.0074385905555555566,2.723991386361051,3.1416382222222223,0.0011538503988658888
10000000,3,0.0717784428,2.936656093074229,3.1418000400000006,0.0002483171281656
100,4,4.4587999999999994e-05,0.12180631560061006,3.0919999999999996,0.11600000000000002
1000,4,7.855400000000001e-06,3.149383438993134,3.1128,0.028792653589793004
10000,4,5.3473625000000004e-05,4.256371248442573,3.11375,0.027842653589792998
100000,4,0.000552962125,3.9645140453536687,3.1374899999999997,0.004102653589793
1000000,4,0.005698812555555555,3.555592748922179,3.141082222222222,0.0005510297721072222
10000000,4,0.057965599699999995,3.636443036748225,3.140883,0.000709653589793
100,5,4.131433333333333e-05,0.13145800892345677,2.973333333333333,0.17644036310544056
1000,5,6.160285714285715e-06,4.015993383114574,3.1205714285714286,0.037941807655684716
10000,5,4.8179099999999994e-05,4.724114813269654,3.1494400000000002,0.007847346410207
100000,5,0.00046171237500000005,4.7480341221330935,3.146815,0.00556050980765525
1000000,5,0.0049501527,4.093339706470065,3.1433108,0.001718146410207
10000000,5,0.050443899599999995,4.17867379547318,3.14079236,0.000800293589793
100,6,4.7021444444444446e-05,0.11550261937224861,3.0666666666666664,0.20275310675215324
1000,6,6.271e-06,3.9450911603678316,3.168,0.0472
10000,6,5.108671428571429e-05,4.455240529407981,3.1426857142857143,0.004172478058601
100000,6,0.0005282482499999999,4.149992188542246,3.144965,0.0056286732051035
1000000,6,0.005381265,3.7654076875976195,3.1430352,0.0015874771281656
10000000,6,0.045637860875000005,4.618722204735675,3.14088445,0.000708203589793
